Wall time,Step,Value
1766534415.1176,30117,600.0
1766534444.358102,50282,600.0
1766534456.125765,60287,592.3076782226562
1766534478.484426,80533,600.0
1766534508.6556668,100685,600.0
1766534519.3480651,110830,590.9091186523438
1766534529.7589371,120841,600.0
1766534540.492536,130943,590.4761962890625
1766534551.3372118,141059,600.0
1766534569.695487,151088,600.0
1766534580.280555,161106,600.0
1766534590.467276,171194,600.0
1766534601.482786,181346,600.0
1766534612.487734,191450,590.4761962890625
1766534631.27058,201565,600.0
1766534652.16847,221722,600.0
1766534672.864799,242071,600.0
1766534691.483131,252129,582.3529663085938
1766534753.240027,302741,600.0
1766534763.476382,312808,600.0
1766534773.586696,322904,600.0
1766534783.835556,332923,589.8305053710938
1766534794.595714,343118,600.0
1766534823.833972,363279,600.0
1766534854.58351,393631,600.0
1766534873.695998,403686,600.0
1766534894.336246,423771,589.4736938476562
1766534904.34477,433925,600.0
1766534914.6013162,444093,600.0
1766534933.157311,454250,589.4736938476562
1766534953.926564,474340,589.6551513671875
1766534975.440553,494582,600.0
1766534994.6673439,504752,600.0
1766535025.4607282,535041,600.0
1766535035.74519,545080,600.0
1766535055.040291,555256,600.0
1766535065.6911669,565430,600.0
1766535075.641948,575477,600.0
1766535116.760339,605693,600.0
1766535127.801899,615759,600.0
1766535149.2531068,636086,600.0
1766535159.70019,646226,600.0
1766535178.726433,656244,600.0
1766535189.034705,666333,600.0
1766535199.908277,676523,589.8305053710938
1766535210.0963142,686677,600.0
1766535220.3722508,696852,600.0
1766535249.752209,716927,600.0
1766535259.8904462,727057,600.0
1766535270.5509849,737199,600.0
1766535281.1827211,747270,589.8305053710938
1766535311.158932,767460,600.0
1766535331.997876,787583,588.888916015625
1766535342.3177989,797680,600.0
1766535371.3412879,817768,600.0
1766535381.830048,827823,600.0
1766535403.4791832,848152,600.0
1766535421.915391,858158,600.0
1766535432.602154,868287,600.0
1766535444.024252,878410,600.0
1766535455.118273,888576,600.0
1766535465.750478,898673,600.0
1766535495.6763651,918884,589.0908813476562
1766535505.5868108,929024,600.0
1766535516.2326138,939076,579.6610107421875
1766535526.883394,949222,589.6551513671875
1766535587.7527308,999496,588.888916015625
1766535606.7676458,1009693,600.0
1766535627.314485,1029833,600.0
1766535647.182582,1049936,600.0
1766535666.135478,1060124,600.0
1766535676.254784,1070214,600.0
1766535707.6179562,1100359,600.0
1766535758.4675782,1140768,600.0
1766535797.03901,1171007,600.0
1766535817.351236,1191226,600.0
1766535827.868021,1201416,588.6792602539062
1766535847.434079,1211450,588.6792602539062
1766535898.337294,1251866,600.0
1766535908.6062799,1261962,600.0
1766535918.750686,1272036,577.7777709960938
1766535929.37694,1282205,600.0
1766535958.9008288,1302491,600.0
1766535969.266145,1312553,588.888916015625
1766536000.701035,1342869,589.4736938476562
1766536040.611967,1373077,589.0908813476562
1766536051.484232,1383161,579.3103637695312
1766536081.2092118,1403370,588.888916015625
1766536101.663529,1423563,600.0
1766536112.038359,1433596,600.0
1766536123.021505,1443681,589.6551513671875
1766536142.6603599,1453767,588.888916015625
1766536153.023438,1463798,600.0
1766536163.4705129,1473909,578.1818237304688
1766536184.583746,1494118,577.7777709960938
1766536203.136044,1504142,588.2352905273438
1766536213.372246,1514289,588.888916015625
1766536223.070863,1524412,600.0
1766536243.3825998,1544666,588.888916015625
1766536262.336982,1554725,600.0
1766536272.6266098,1564791,600.0
1766536292.8597262,1584876,600.0
1766536303.340611,1594896,600.0
1766536322.6012008,1604944,588.888916015625
1766536344.562516,1624969,600.0
1766536355.1288152,1635128,600.0
1766536384.368892,1655283,578.1818237304688
1766536394.711873,1665416,600.0
1766536415.828813,1685480,600.0
1766536426.580438,1695534,600.0
1766536445.1736488,1705645,589.4736938476562
1766536465.769421,1725758,589.0908813476562
1766536515.2525692,1766017,600.0
1766536525.309311,1776157,589.2857055664062
1766536535.675189,1786349,600.0
1766536546.058859,1796351,600.0
1766536575.6728141,1816622,578.5714111328125
1766536585.896757,1826813,588.888916015625
1766536606.3905978,1847133,600.0
1766536635.9605289,1867279,600.0
1766536646.2519512,1877324,588.888916015625
1766536656.582691,1887377,588.6792602539062
1766536667.713242,1897517,568.9655151367188
1766536697.011018,1917678,600.0
1766536706.825814,1927815,600.0
1766536788.1059399,1998555,589.0908813476562
1766536838.028252,2039019,600.0
1766536877.4863129,2069339,546.4285888671875
1766536888.230491,2079494,600.0
1766536899.104497,2089608,588.4615478515625
1766536909.701594,2099746,600.0
1766536959.339922,2140091,588.888916015625
1766536969.582967,2150182,600.0
1766536989.275253,2160230,578.5714111328125
1766536999.34217,2170298,600.0
1766537030.75784,2200714,600.0
1766537049.4373271,2210805,588.4615478515625
1766537060.1324742,2220877,557.8947143554688
1766537070.108381,2231017,600.0
1766537080.0488179,2241028,600.0
1766537090.300839,2251173,588.888916015625
1766537119.872007,2271405,588.6792602539062
1766537131.444433,2281529,589.6551513671875
1766537142.442373,2291687,557.1428833007812
1766537171.223681,2311876,600.0
1766537181.799375,2322026,568.4210815429688
1766537192.115188,2332215,566.6666870117188
1766537202.926176,2342382,559.322021484375
1766537213.380861,2352531,588.6792602539062
1766537232.753129,2362715,580.0
1766537264.467536,2392891,578.1818237304688
1766537275.116417,2403055,579.3103637695312
1766537304.3616168,2423107,569.4915161132812
1766537356.0927942,2463486,580.6451416015625
1766537366.519829,2473509,558.6206665039062
1766537388.531611,2493805,570.0
1766537398.309576,2503899,600.0
1766537417.4838521,2513952,567.8571166992188
1766537427.64502,2524070,600.0
1766537437.5361311,2534070,588.4615478515625
1766537448.0077271,2544129,600.0
1766537486.862525,2574387,556.3636474609375
1766537525.9200268,2604650,568.4210815429688
1766537535.9678888,2614784,589.0908813476562
1766537546.242694,2624828,578.9473876953125
1766537556.8350651,2634888,546.4285888671875
1766537586.768157,2655133,556.3636474609375
1766537608.009036,2675351,577.3585205078125
1766537630.578154,2695705,569.4915161132812
1766537660.414339,2715857,577.7777709960938
1766537681.0630121,2736103,578.5714111328125
1766537691.297945,2746290,577.7777709960938
1766537710.821624,2756409,538.9830322265625
1766537721.427636,2766415,589.2857055664062
1766537732.117179,2776432,545.4545288085938
1766537753.291614,2796596,577.7777709960938
1766537772.924352,2806620,570.0
1766537793.419965,2826699,566.0377197265625
1766537813.818963,2846812,589.0908813476562
1766537843.523425,2866964,589.4736938476562
